Map,Algorithm,Ablation Mode,Mission Time,Partition Time,Path Planning Time,Algorithm Time
Medium,SCoPP,Partition Ablation,1593.2999999996464,4.29189133644104,4.865243673324585,15.97705602645874
Medium,SCoPP,Partition Ablation,1593.2999999996464,4.242030143737793,4.86538028717041,15.998650550842285
Medium,SCoPP,Partition Ablation,1593.2999999996464,4.218609094619751,4.889709711074829,15.952834367752075
Medium,SCoPP,Partition Ablation,1593.2999999996464,4.1958537101745605,4.895062446594238,15.920909404754639
Medium,SCoPP,Partition Ablation,1593.2999999996464,4.2280309200286865,4.830431938171387,15.87470006942749
Medium,SCoPP,Partition Ablation,1593.2999999996464,4.2218523025512695,4.854892730712891,15.921567440032959
Medium,SCoPP,Partition Ablation,1593.2999999996464,4.233490943908691,4.862802743911743,15.975178956985474
Medium,SCoPP,No Ablation,1843.5999999994187,4.655954122543335,5.222956657409668,16.738469123840332
Medium,SCoPP,No Ablation,1607.2999999996337,4.577561855316162,5.1005167961120605,16.513445138931274
Medium,SCoPP,No Ablation,1585.5999999996534,4.699930906295776,5.138601779937744,16.69214105606079
Medium,SCoPP,No Ablation,1781.9999999994748,4.539883852005005,5.075642108917236,16.465481281280518
Medium,SCoPP,No Ablation,1658.1999999995874,4.625455856323242,5.089592695236206,16.332731246948242
Medium,SCoPP,No Ablation,1756.5999999994979,4.639920234680176,5.129976034164429,16.386927366256714
Medium,SCoPP,No Ablation,1580.0999999996584,4.546678066253662,5.004223108291626,16.164073944091797
Medium,SCoPP,No Ablation,1822.2999999994381,4.655302047729492,5.101155042648315,16.395490884780884
Medium,SCoPP,No Ablation,1743.9999999995093,4.714934349060059,5.013522386550903,16.340877056121826
Medium,SCoPP,No Ablation,1637.8999999996058,4.71118950843811,5.113731145858765,16.462823152542114
Large,SCoPP,Partition Ablation,2932.999999998428,23.010327577590942,12.82826852798462,505.63638710975647
Large,SCoPP,Partition Ablation,2932.999999998428,23.545894384384155,12.874361753463745,506.5530295372009
Large,SCoPP,Partition Ablation,2932.999999998428,23.13513684272766,12.828619003295898,502.7054646015167
Large,SCoPP,Partition Ablation,2932.999999998428,23.063477039337158,12.768478393554688,502.3899712562561
Large,SCoPP,Partition Ablation,2932.999999998428,12.406205892562866,12.823105573654175,485.8311245441437
Large,SCoPP,Partition Ablation,2932.999999998428,23.130589485168457,12.834568738937378,482.2202010154724
Large,SCoPP,Partition Ablation,2932.999999998428,23.321810007095337,12.867286920547485,503.507461309433
Large,SCoPP,Partition Ablation,2932.999999998428,22.80038809776306,12.84386134147644,500.1298568248749
Large,SCoPP,Partition Ablation,2932.999999998428,23.206360340118408,12.820387125015259,504.3343641757965
Large,SCoPP,Partition Ablation,2932.999999998428,23.487571239471436,12.931621313095093,471.29480266571045
Large,SCoPP,No Ablation,3605.799999997816,38.20987010002136,13.549312591552734,518.2913632392883
Large,SCoPP,No Ablation,3632.099999997792,29.308700799942017,13.618308305740356,511.40924620628357
Large,SCoPP,No Ablation,3348.59999999805,39.03765034675598,13.556134223937988,521.7271819114685
Large,SCoPP,No Ablation,3848.599999997595,38.25181770324707,11.287476539611816,516.3292360305786
